,videoId,title,description,publishedAt,commentCount,dislikeCount,favoriteCount,likeCount,viewCount
167,hqGUMDfhOcI,『難しすぎるゲームを屋台で出してる奴』ジャルジャルのネタのタネ【JARUJARUTOWER】,ジャルジャル単独ツアー史上最大の5都市14公演1万人規模で開催！春の単独ツアー大決定！！ 大晦日に前代未聞の9時間に及ぶ108本コントライブを...,2020-03-23T09:00:30Z,612,63,0,2376,150010
168,z8boWPbk_9Y,『わからん問題、笑って誤魔化す先生な奴』ジャルジャルのネタのタネ【JARUJARUTOWER】,ジャルジャル単独ツアー史上最大の5都市14公演1万人規模で開催！春の単独ツアー大決定！！ 大晦日に前代未聞の9時間に及ぶ108本コントライブを...,2020-03-22T09:00:32Z,912,67,0,3471,184862
169,y99AO2-0eDc,『スポーツ刈りのくせに職務質問される奴』ジャルジャルのネタのタネ【JARUJARUTOWER】,ジャルジャル単独ツアー史上最大の5都市14公演1万人規模で開催！春の単独ツアー大決定！！ 大晦日に前代未聞の9時間に及ぶ108本コントライブを...,2020-03-20T09:00:26Z,1513,255,0,7948,681750
170,Aqh1ArkDlhU,『コラボして揉めるラッパーと演歌歌手な奴』ジャルジャルのネタのタネ【JARUJARUTOWER】,ジャルジャル単独ツアー史上最大の5都市14公演1万人規模で開催！春の単独ツアー大決定！！ 大晦日に前代未聞の9時間に及ぶ108本コントライブを...,2020-03-19T09:00:04Z,965,70,0,2993,164709
171,baTPDTHJRYE,『一人コント言うてたのに、もう一人出てくる奴』ジャルジャルのネタのタネ【JARUJARUTOWER】,ジャルジャル単独ツアー史上最大の5都市14公演1万人規模で開催！春の単独ツアー大決定！！ 大晦日に前代未聞の9時間に及ぶ108本コントライブを...,2020-03-18T09:00:15Z,633,55,0,2178,102862
172,iFsHnQdOXlg,『ため口な奴～ベテラン刑事と新米刑事～』ジャルジャルのネタのタネ【JARUJARUTOWER】,ジャルジャル単独ツアー史上最大の5都市14公演1万人規模で開催！春の単独ツアー大決定！！ 大晦日に前代未聞の9時間に及ぶ108本コントライブを...,2020-03-17T09:00:28Z,798,145,0,4538,461472
173,7TYc-Zd2F7k,『理解不能者にカツアゲする奴』ジャルジャルのネタのタネ【JARUJARUTOWER】,ジャルジャル単独ツアー史上最大の5都市14公演1万人規模で開催！春の単独ツアー大決定！！ 大晦日に前代未聞の9時間に及ぶ108本コントライブを...,2020-03-16T09:00:04Z,962,106,0,5244,313518
174,jq7L-kYLBW0,ジャルジャルのドキュメント『幻想的な歌手フォレに密着する奴』,３億回記念！本気ネタ！『地元のツレが下品な奴』に登場した、 幻想的な歌手「フォレ」に密着したVTRです。 まずは、本気ネタの方から先にご...,2020-03-12T11:00:09Z,3959,169,0,15156,505189
175,rIc4En3XJpw,『遊園地のアトラクションの空気潰す関西人な奴』ジャルジャルのネタのタネ【JARUJARUTOWER】,ジャルジャル単独ツアー史上最大の5都市14公演1万人規模で開催！春の単独ツアー大決定！！ 大晦日に前代未聞の9時間に及ぶ108本コントライブを...,2020-03-12T09:00:14Z,1067,109,0,4249,278241
176,1l1J96aCcD4,ジャルジャル『&quot;国名分けっこ&quot;のパロディでハローキティがやったネタ&quot;キャラ名分けっこ&quot;をやってみた奴』【JARUJARUTOWER】,提供：サンリオ このチャンネルはジャルジャルの公式チャンネルです！ 日々の活動をドンドンUPしていきます！！ YouTuberとしても活動をはじめ...,2020-03-11T09:00:00Z,697,34,0,4000,129995
